pedigree,female,male,env,blue
ATx2924/RTx2941,ATx2924,RTx2941,19CS,66.55
ATx2926/R01302,ATx2926,R01302,19CS,67.095
ATx2926/R05393,ATx2926,R05393,19CS,66.925
ATx2926/R05405,ATx2926,R05405,19CS,66.975
ATx2926/R07161,ATx2926,R07161,19CS,65.55
ATx2926/R08297,ATx2926,R08297,19CS,67.915
ATx2926/R08304,ATx2926,R08304,19CS,67.805
ATx2926/R12154,ATx2926,R12154,19CS,68.355
ATx2926/RTx2913,ATx2926,RTx2913,19CS,67.225
ATx2926/RTx2917,ATx2926,RTx2917,19CS,66.535
ATx2926/RTx2919,ATx2926,RTx2919,19CS,67.335
ATx2926/RTx2944,ATx2926,RTx2944,19CS,67.005
ATx2927/R12157,ATx2927,R12157,19CS,66.945
ATx2927/RTx2936,ATx2927,RTx2936,19CS,67.06
ATx2927/RTx2937,ATx2927,RTx2937,19CS,67.075
ATx2930/R01302,ATx2930,R01302,19CS,66.96
ATx2930/R02107,ATx2930,R02107,19CS,66.815
ATx2930/R03248,ATx2930,R03248,19CS,66.39
ATx2930/R05393,ATx2930,R05393,19CS,66.37
ATx2930/R05425,ATx2930,R05425,19CS,65.945
ATx2930/R07178,ATx2930,R07178,19CS,66.42
ATx2930/R08303,ATx2930,R08303,19CS,67.515
ATx2930/R11158,ATx2930,R11158,19CS,66.855
ATx2930/R12148,ATx2930,R12148,19CS,66.39
ATx2930/R12154,ATx2930,R12154,19CS,66.56
ATx2930/RTx2920,ATx2930,RTx2920,19CS,66.79
ATx2930/RTx2940,ATx2930,RTx2940,19CS,66.845
ATx2930/RTx2942,ATx2930,RTx2942,19CS,66.385
ATx2931/R01302,ATx2931,R01302,19CS,67.17
ATx2931/R05405,ATx2931,R05405,19CS,67.67
ATx2931/R07161,ATx2931,R07161,19CS,66.85
ATx2931/R08297,ATx2931,R08297,19CS,68.315
ATx2931/R08304,ATx2931,R08304,19CS,68.64
ATx2931/R08306,ATx2931,R08306,19CS,68.46
ATx2931/R11208,ATx2931,R11208,19CS,68.45
ATx2931/RTx2936,ATx2931,RTx2936,19CS,68.1
ATx2931/RTx2940,ATx2931,RTx2940,19CS,68.13
ATx2931/RTx2943,ATx2931,RTx2943,19CS,68.52
ATx2934/R05386,ATx2934,R05386,19CS,67.41
ATx2934/R08297,ATx2934,R08297,19CS,68.05
ATx2934/R11208,ATx2934,R11208,19CS,69.09
ATx2934/R12157,ATx2934,R12157,19CS,67.575
ATx2934/RTx2935,ATx2934,RTx2935,19CS,68.475
ATx2934/RTx2941,ATx2934,RTx2941,19CS,66.645
ATx3408/R05330,ATx3408,R05330,19CS,67.1
ATx3408/R12145,ATx3408,R12145,19CS,67.76
ATx3408/RTx2935,ATx3408,RTx2935,19CS,67.025
ATx3409/R08224,ATx3409,R08224,19CS,66.255
ATx644/R05330,ATx644,R05330,19CS,67.585
ATx644/R08224,ATx644,R08224,19CS,67.225
ATx644/RTx2935,ATx644,RTx2935,19CS,67.585
ATx644/RTx2936,ATx644,RTx2936,19CS,68.16
A01021/R02107,A01021,R02107,19TA,68.09
A01021/R07178,A01021,R07178,19TA,66.947
A01021/R12145,A01021,R12145,19TA,67.127
A01021/RTx2935,A01021,RTx2935,19TA,67.415
A01046/R05386,A01046,R05386,19TA,66.862
A01046/R11208,A01046,R11208,19TA,68.762
A01046/RTx2914,A01046,RTx2914,19TA,67.16
A01362/R04060,A01362,R04060,19TA,67.535
A01362/R05512,A01362,R05512,19TA,66.68
A01362/R08304,A01362,R08304,19TA,66.975
A01362/RTx2912,A01362,RTx2912,19TA,66.482
A01362/RTx2919,A01362,RTx2919,19TA,67.062
A01362/RTx2943,A01362,RTx2943,19TA,67.077
A03017/R04104,A03017,R04104,19TA,65.395
A03017/RTx2918,A03017,RTx2918,19TA,65.805
A03032/R04060,A03032,R04060,19TA,68.762
A03032/RTx2913,A03032,RTx2913,19TA,67.78
A03032/RTx2942,A03032,RTx2942,19TA,67.472
A03040/R04104,A03040,R04104,19TA,66.822
A03040/R05393,A03040,R05393,19TA,66.915
A03040/R08306,A03040,R08306,19TA,67.385
A03040/R12071,A03040,R12071,19TA,65.972
A03040/R12154,A03040,R12154,19TA,66.402
A03040/RTx2917,A03040,RTx2917,19TA,66.772
A03040/RTx2942,A03040,RTx2942,19TA,66.307
A03043/R04104,A03043,R04104,19TA,66.437
A03043/R05386,A03043,R05386,19TA,66.48
A03043/R08297,A03043,R08297,19TA,67.325
A03043/R12148,A03043,R12148,19TA,67.765
A03043/RTx2920,A03043,RTx2920,19TA,67.525
A03054/R05405,A03054,R05405,19TA,66.987
A03054/R12156,A03054,R12156,19TA,68.202
A03054/RTx2936,A03054,RTx2936,19TA,68.48
A03054/RTx2941,A03054,RTx2941,19TA,66.99
A03055/R05330,A03055,R05330,19TA,68.497
A03055/R08297,A03055,R08297,19TA,69.222
A03055/RTx2918,A03055,RTx2918,19TA,68.284
A03055/RTx2942,A03055,RTx2942,19TA,68.189
A03055/RTx2944,A03055,RTx2944,19TA,68.454
A03089/R05393,A03089,R05393,19TA,67.289
A03089/R12157,A03089,R12157,19TA,67.644
A03089/RTx2917,A03089,RTx2917,19TA,67.514
A03093/R02107,A03093,R02107,19TA,67.844
A03093/R05405,A03093,R05405,19TA,66.654
A03093/R08297,A03093,R08297,19TA,69.189
A03093/RTx2913,A03093,RTx2913,19TA,67.844
A03093/RTx2920,A03093,RTx2920,19TA,68.239
A03093/RTx2944,A03093,RTx2944,19TA,68.519
A03121/R05330,A03121,R05330,19TA,66.714
A03121/R07178,A03121,R07178,19TA,66.754
A03121/R08303,A03121,R08303,19TA,67.774
A03121/RTx2913,A03121,RTx2913,19TA,66.894
A03121/RTx2935,A03121,RTx2935,19TA,67.269
A05071/R02107,A05071,R02107,19TA,67.259
A05071/R05330,A05071,R05330,19TA,66.969
A05071/R05425,A05071,R05425,19TA,66.524
A05071/R11158,A05071,R11158,19TA,66.179
A05071/RTx2936,A05071,RTx2936,19TA,67.364
A05210/R03248,A05210,R03248,19TA,67.064
A05210/R05405,A05210,R05405,19TA,66.414
A05210/R08224,A05210,R08224,19TA,64.784
A05210/R12154,A05210,R12154,19TA,66.849
A05210/RTx2937,A05210,RTx2937,19TA,66.859
A05210/RTx2943,A05210,RTx2943,19TA,66.874
A05269/R05330,A05269,R05330,19TA,67.879
A05269/R08303,A05269,R08303,19TA,67.224
A05269/R11208,A05269,R11208,19TA,68.064
A05269/RTx2919,A05269,RTx2919,19TA,66.999
A05269/RTx2943,A05269,RTx2943,19TA,67.574
A06035/R03248,A06035,R03248,19TA,66.944
A06035/R12154,A06035,R12154,19TA,66.944
A06035/RTx2917,A06035,RTx2917,19TA,67.424
A06035/RTx2936,A06035,RTx2936,19TA,68.029
A06036/R08306,A06036,R08306,19TA,66.439
A06036/RTx2940,A06036,RTx2940,19TA,67.159
A07118/R08224,A07118,R08224,19TA,67.114
A07118/R12145,A07118,R12145,19TA,68.054
A07118/R12157,A07118,R12157,19TA,67.164
A07118/RTx2944,A07118,RTx2944,19TA,67.414
A07124/R04060,A07124,R04060,19TA,68.294
A07124/R05425,A07124,R05425,19TA,66.669
A07124/R11158,A07124,R11158,19TA,67.609
A07124/RTx2917,A07124,RTx2917,19TA,67.144
A07124/RTx2935,A07124,RTx2935,19TA,66.944
A08068/R03248,A08068,R03248,19TA,68.684
A08068/R11158,A08068,R11158,19TA,67.424
A08068/RTx2919,A08068,RTx2919,19TA,68.134
A08134/R04060,A08134,R04060,19TA,68.069
A08134/R07178,A08134,R07178,19TA,66.949
A08134/R11158,A08134,R11158,19TA,66.814
A08134/RTx2918,A08134,RTx2918,19TA,67.059
A08134/RTx2940,A08134,RTx2940,19TA,66.964
