pedigree,female,male,env,blue
A08158/R12145,A08158,R12145,19CS,7373.4081
A08158/R12154,A08158,R12154,19CS,6956.8347
A08158/RTx2912,A08158,RTx2912,19CS,5173.8434
A08158/RTx2914,A08158,RTx2914,19CS,7591.6286
A08158/RTx2917,A08158,RTx2917,19CS,5739.3998
A08158/RTx2939,A08158,RTx2939,19CS,8710.53
A11076/R04060,A11076,R04060,19CS,8641.6705
A11076/R07178,A11076,R07178,19CS,8357.5969
A11076/R08297,A11076,R08297,19CS,8528.1258
A11076/R12148,A11076,R12148,19CS,6916.8771
A11076/R12154,A11076,R12154,19CS,7994.4674
A11076/RTx2918,A11076,RTx2918,19CS,7388.2574
A11076/RTx2938,A11076,RTx2938,19CS,7389.4182
A11076/RTx2940,A11076,RTx2940,19CS,6686.9307
A11085/R02107,A11085,R02107,19CS,7370.0691
A11085/R03248,A11085,R03248,19CS,5865.4634
A11085/R04104,A11085,R04104,19CS,7915.5752
A11085/R07178,A11085,R07178,19CS,6171.8071
A11085/R12148,A11085,R12148,19CS,6941.9464
A11085/RTx2942,A11085,RTx2942,19CS,7582.9816
A11085/RTx2944,A11085,RTx2944,19CS,6782.9629
AHF14/R07161,AHF14,R07161,19CS,7264.3119
AHF14/RTx2943,AHF14,RTx2943,19CS,7860.1704
AKS116/R02107,AKS116,R02107,19CS,6934.7917
AKS116/R08303,AKS116,R08303,19CS,7264.1501
AKS116/R12154,AKS116,R12154,19CS,8205.6312
AKS116/RTx2917,AKS116,RTx2917,19CS,6225.8889
AKS116/RTx2920,AKS116,RTx2920,19CS,7319.8143
AKS116/RTx2936,AKS116,RTx2936,19CS,6546.6692
AKS116/RTx2940,AKS116,RTx2940,19CS,8159.9984
AKS116/RTx2942,AKS116,RTx2942,19CS,7013.1596
AKS116/RTx2944,AKS116,RTx2944,19CS,7505.9945
AKS117/R01302,AKS117,R01302,19CS,5170.2874
AKS117/R12148,AKS117,R12148,19CS,6648.2264
AKS117/RTx2914,AKS117,RTx2914,19CS,5076.3121
AKS117/RTx2942,AKS117,RTx2942,19CS,6232.3321
AKS118/R08303,AKS118,R08303,19CS,7273.8727
AKS118/R12156,AKS118,R12156,19CS,7668.3277
AKS118/RTx2912,AKS118,RTx2912,19CS,7253.8945
AKS118/RTx2916,AKS118,RTx2916,19CS,8141.39
AKS118/RTx2918,AKS118,RTx2918,19CS,6436.0282
AKS118/RTx2935,AKS118,RTx2935,19CS,5001.04
AKS118/RTx2943,AKS118,RTx2943,19CS,7627.5321
AKS119/R01302,AKS119,R01302,19CS,6048.4951
