"","gy","ph","dy"
"A03093/RTx2913",6645.979,121.92,90.75
"A03093/RTx2914",5622.5385,120.65,90
"A03093/RTx2916",5681.778,114.3,91.25
"A03093/RTx2917",5799.932,106.045,90.25
"A03093/RTx2918",6452.248,106.68,91.25
"A03093/RTx2919",5810.2445,112.395,91.75
"A03093/RTx2920",5439.629,98.425,88.5
"A03093/RTx2935",6459.016,107.315,91.25
"A03093/RTx2936",6484.7245,117.475,89
"A03093/RTx2937",5815.621,105.41,90.75
"A03093/RTx2938",6066.003,108.585,90
"A03093/RTx2939",6200.127,119.38,91.75
"A03093/RTx2940",6061.261,107.315,88.75
"A03093/RTx2941",4651.4975,111.76,94.25
"A03093/RTx2942",6696.3925,114.3,89
"A03093/RTx2943",6061.2365,121.285,91.25
"A03093/RTx2944",5520.3165,109.22,87.5
"A03121/R01302",6087.7935,109.855,89
"A03121/R02107",5071.1065,113.03,89.25
"A03121/R03248",6521.61,113.03,89.75
"A03121/R04060",6956.6655,114.935,90.25
"A03121/R04104",5939.0245,111.76,89.25
"A03121/R05330",6017.49,118.11,89.75
"A03121/R05386",5860.2235,103.505,91
"A03121/R05393",5907.043,106.68,90.75
"A03121/R05405",5792.6715,107.315,91.25
"A03121/R05425",5699.0395,109.22,88.75
"A03121/R05512",5579.044,108.585,92
"A03121/R07161",6551.5995,120.015,89.5
"A03121/R07178",6316.1875,108.585,90.25
"A03121/R08224",5806.532,121.285,92
"A03121/R08297",5568.337,106.045,91.25
"A03121/R08303",5870.7075,98.425,91.5
"A03121/R08304",6126.4675,125.73,91.5
"A03121/R08306",6184.81,104.775,89.25
"A03121/R11158",6136.1605,119.38,89.25
"A03121/R11208",6150.903,101.6,91.5
"A03121/R12071",6830.93,113.03,87
"A03121/R12145",6220.5595,111.76,91.5
"A03121/R12148",5824.435,107.95,90.75
"A03121/R12154",6466.7915,115.57,89.25
"A03121/R12156",6306.148,110.49,92.75
"A03121/R12157",5818.128,114.3,91.5
"A03121/RTx2912",5183.6525,110.49,93.25
"A03121/RTx2913",6578.3095,121.92,91
"A03121/RTx2914",5554.869,120.65,90.25
"A03121/RTx2916",5614.1085,114.3,91.5
"A03121/RTx2917",5732.2625,106.045,90.5
"A03121/RTx2918",6384.5785,106.68,91.5
"A03121/RTx2919",5742.575,112.395,92
"A03121/RTx2920",5371.9595,98.425,88.75
"A03121/RTx2935",6391.3465,107.315,91.5
"A03121/RTx2936",6417.055,117.475,89.25
"A03121/RTx2937",5747.9515,105.41,91
"A03121/RTx2938",5998.3335,108.585,90.25
"A03121/RTx2939",6132.4575,119.38,92
"A03121/RTx2940",5993.5915,107.315,89
"A03121/RTx2941",4583.828,111.76,94.5
"A03121/RTx2942",6628.723,114.3,89.25
"A03121/RTx2943",5993.567,121.285,91.5
"A03121/RTx2944",5452.647,109.22,87.75
"A05071/R01302",5273.0065,109.22,88.75
"A05071/R02107",4256.3195,112.395,89
"A05071/R03248",5706.823,112.395,89.5
"A05071/R04060",6141.8785,114.3,90
"A05071/R04104",5124.2375,111.125,89
"A05071/R05330",5202.703,117.475,89.5
"A05071/R05386",5045.4365,102.87,90.75
"A05071/R05393",5092.256,106.045,90.5
"A05071/R05405",4977.8845,106.68,91
"A05071/R05425",4884.2525,108.585,88.5
"A05071/R05512",4764.257,107.95,91.75
"A05071/R07161",5736.8125,119.38,89.25
"A05071/R07178",5501.4005,107.95,90
