Env,Pedigree,Female,Male,RA,RO,Rep,Test,DY,PH,GY
19CS,A11085/R04104,A11085,R04104,8,237,1,SCHT,77,127,7172.8826
19CS,A07124/RTx2943,A07124,RTx2943,6,307,1,SCHV,83,154.94,7175.638221
19CS,A08068/R03248,A08068,R03248,6,259,1,SCHT,78,129.54,7178.082098
19CS,A05210/RTx2937,A05210,RTx2937,5,266,1,SCHT,78,137.16,7207.160358
19CS,AKS120/R08303,AKS120,R08303,9,322,1,SCHV,79,142.24,7208.564909
19CS,A05210/R12157,A05210,R12157,5,314,1,SCHV,82,154.94,7209.464036
19CS,AKS120/R08306,AKS120,R08306,9,274,1,SCHT,75,149.86,7209.95414
19CS,A03054/R01302,A03054,R01302,3,302,1,SCHV,77,121.92,7212.759037
19CS,A03043/RTx2920,A03043,RTx2920,3,254,1,SCHT,79,127,7213.178079
19CS,A08068/R12156,A08068,R12156,17,290,2,SCHV,85,121.92,7216.18505
19CS,A03055/R08297,A03055,R08297,17,242,2,SCHT,78,134.62,7217.017486
19CS,ATx2923/R11158,ATx2923,R11158,10,287,1,SCHV,83,139.7,7217.963561
19CS,ATx2923/R11208,ATx2923,R11208,10,239,1,SCHT,80,116.84,7218.954466
19CS,A01046/R11208,A01046,R11208,15,266,2,SCHT,75,124.46,7219.304462
19CS,AKS118/R08303,AKS118,R08303,15,314,2,SCHV,77,137.16,7221.868748
19CS,ATx2921/RTx2918,ATx2921,RTx2918,17,262,2,SCHT,82,147.32,7223.286102
19CS,A03089/R04104,A03089,R04104,17,310,2,SCHV,84,124.46,7225.170929
19CS,AKS116/R02107,AKS116,R02107,8,243,1,SCHT,77,134.62,7225.311331
19CS,A11085/RTx2944,A11085,RTx2944,8,291,1,SCHV,75,139.7,7225.4162
19CS,A03054/RTx2940,A03054,RTx2940,3,296,1,SCHV,79,114.3,7240.55897
19CS,AKS118/86EON361,AKS118,86EON361,8,265,1,SCHT,80,121.92,7241.538647
19CS,A03054/R12156,A03054,R12156,3,248,1,SCHT,82,124.46,7241.924123
19CS,AKS118/RTx2943,AKS118,RTx2943,8,313,1,SCHV,81,152.4,7243.892258
19CS,ATx2927/RTx2936,ATx2927,RTx2936,10,319,1,SCHV,79,149.86,7252.557491
19CS,ATx2927/RTx2937,ATx2927,RTx2937,10,271,1,SCHT,79,139.7,7252.919086
19CS,A11076/R07178,A11076,R07178,12,307,2,SCHV,83,137.16,7264.564985
19CS,AHF14/86EON361,AHF14,86EON361,17,266,2,SCHT,80,121.92,7266.451876
19CS,A08158/RTx2912,A08158,RTx2912,12,259,2,SCHT,85,142.24,7266.65852
19CS,A03055/R12148,A03055,R12148,21,286,2,SCHV,82,132.08,7268.855427
19CS,ATx2921/R12145,ATx2921,R12145,17,314,2,SCHV,86,139.7,7269.021732
19CS,A03043/R08297,A03043,R08297,21,238,2,SCHT,80,147.32,7269.480257
19CS,A03093/R07178,A03093,R07178,14,309,2,SCHV,82,132.08,7277.313077
19CS,A03032/RTx2913,A03032,RTx2913,14,261,2,SCHT,80,139.7,7278.625723
19CS,A05210/RTx2943,A05210,RTx2943,5,264,1,SCHT,80,170.18,7292.082294
19CS,A05210/RTx2938,A05210,RTx2938,5,312,1,SCHV,82,144.78,7293.234133
19CS,A08068/RTx2941,A08068,RTx2941,6,313,1,SCHV,81,129.54,7305.819509
19CS,A08068/86EON361,A08068,86EON361,6,265,1,SCHT,81,127,7307.806775
19CS,A03032/RTx2913,A03032,RTx2913,2,271,1,SCHT,79,137.16,7312.283599
19CS,A03032/R08297,A03032,R08297,2,319,1,SCHV,81,106.68,7313.91344
19CS,A07124/R11158,A07124,R11158,6,253,1,SCHT,79,154.94,7314.622721
19CS,A07124/R07178,A07124,R07178,6,301,1,SCHV,82,137.16,7316.457077
19CS,AKS118/R08303,AKS118,R08303,8,307,1,SCHV,77,132.08,7325.876666
19CS,AKS118/R12156,AKS118,R12156,8,259,1,SCHT,81,129.54,7327.344988
19CS,ATx2926/RTx2913,ATx2926,RTx2913,10,265,1,SCHT,81,154.94,7328.156086
19CS,ATx2926/R12154,ATx2926,R12154,10,313,1,SCHV,82,132.08,7329.046042
19CS,ATx2923/R11208,ATx2923,R11208,19,246,2,SCHT,82,111.76,7343.262557
19CS,AHF14/RTx2943,AHF14,RTx2943,20,285,2,SCHV,82,134.62,7345.490541
19CS,ATx2924/R12145,ATx2924,R12145,19,294,2,SCHV,84,139.7,7345.81717
19CS,AKS120/R12148,AKS120,R12148,20,237,2,SCHT,77,154.94,7347.161158
19CS,ATx2934/RTx2935,ATx2934,RTx2935,11,254,1,SCHT,80,127,7352.725906
19CS,ATx2930/R11158,ATx2930,R11158,19,268,2,SCHT,77,154.94,7353.301754
19CS,A03017/RTx2920,A03017,RTx2920,19,316,2,SCHV,75,134.62,7353.507302
19CS,ATx2934/R12157,ATx2934,R12157,11,302,1,SCHV,82,129.54,7354.822791
19CS,A01046/RTx2935,A01046,RTx2935,20,303,2,SCHV,80,139.7,7355.409646
19CS,A06035/R03248,A06035,R03248,20,255,2,SCHT,81,124.46,7355.775847
19CS,AKS116/R12154,AKS116,R12154,8,245,1,SCHT,74,124.46,7367.74451
19CS,AKS116/R08303,AKS116,R08303,8,293,1,SCHV,77,144.78,7369.418189
19CS,A03040/R04104,A03040,R04104,13,252,2,SCHT,78,144.78,7372.952336
19CS,A11085/R03248,A11085,R03248,13,300,2,SCHV,78,142.24,7373.632657
19CS,AN268/R12148,AN268,R12148,20,267,2,SCHT,76,114.3,7376.909945
19CS,A03121/R12157,A03121,R12157,20,315,2,SCHV,82,127,7377.982921
19CS,ATx2923/R12145,ATx2923,R12145,10,289,1,SCHV,83,132.08,7378.190503
19CS,ATx2923/RTx2913,ATx2923,RTx2913,10,241,1,SCHT,82,149.86,7379.079442
19CS,A11077/R12157,A11077,R12157,7,242,1,SCHT,82,124.46,7382.881155
19CS,A11077/R12154,A11077,R12154,7,290,1,SCHV,81,139.7,7382.881155
19CS,A08158/R05330,A08158,R05330,12,247,2,SCHT,86,154.94,7387.038313
19CS,A11076/RTx2938,A11076,RTx2938,12,295,2,SCHV,84,129.54,7388.497255
19CS,AN290/RTx2943,AN290,RTx2943,18,259,2,SCHT,78,137.16,7389.486713
19CS,A11076/RTx2940,A11076,RTx2940,7,248,1,SCHT,77,132.08,7390.339178
19CS,A11076/RTx2938,A11076,RTx2938,7,296,1,SCHV,81,144.78,7390.339178
19CS,A03017/R04060,A03017,R04060,18,307,2,SCHV,79,142.24,7390.423527
19CS,A01021/R07178,A01021,R07178,2,239,1,SCHT,77,157.48,7397.11128
19CS,A01021/R05425,A01021,R05425,2,287,1,SCHV,75,177.8,7398.676585
19CS,A05210/R05512,A05210,R05512,5,318,1,SCHV,79,160.02,7403.838635
19CS,A05210/R08224,A05210,R08224,5,270,1,SCHT,84,180.34,7404.914626
19CS,AN263/RTx2938,AN263,RTx2938,9,262,1,SCHT,80,121.92,7407.873182
19CS,AN263/RTx2936,AN263,RTx2936,9,310,1,SCHV,79,132.08,7409.604888
19CS,ATx2927/R12157,ATx2927,R12157,10,269,1,SCHT,80,147.32,7422.949119
19CS,ATx2926/RTx2944,ATx2926,RTx2944,10,317,1,SCHV,77,154.94,7423.66787
19CS,A05071/R02107,A05071,R02107,4,269,1,SCHT,78,121.92,7427.3423
19CS,A05071/R05405,A05071,R05405,4,317,1,SCHV,79,165.1,7428.313655
19CS,A03040/R12071,A03040,R12071,14,269,2,SCHT,76,139.7,7432.740061
19CS,AHF14/R07161,AHF14,R07161,14,317,2,SCHV,79,154.94,7433.868736
19CS,AN290/R03248,AN290,R03248,13,292,2,SCHV,79,139.7,7438.981732
19CS,A03055/RTx2944,A03055,RTx2944,13,244,2,SCHT,77,142.24,7439.348184
19CS,A05210/RTx2938,A05210,RTx2938,13,308,2,SCHV,80,152.4,7441.056961
19CS,A03032/RTx2942,A03032,RTx2942,13,260,2,SCHT,80,132.08,7443.460673
19CS,A08134/R02107,A08134,R02107,16,315,2,SCHV,75,142.24,7446.025786
19CS,A03093/RTx2913,A03093,RTx2913,16,267,2,SCHT,79,149.86,7446.076856
19CS,A06035/R05330,A06035,R05330,5,294,1,SCHV,82,137.16,7459.29433
19CS,A05210/R12145,A05210,R12145,15,294,2,SCHV,84,149.86,7460.587684
19CS,A06035/R12154,A06035,R12154,5,246,1,SCHT,80,144.78,7461.646595
19CS,A06035/RTx2936,A06035,RTx2936,15,246,2,SCHT,78,149.86,7462.880043
19CS,A05269/R07161,A05269,R07161,5,306,1,SCHV,79,167.64,7482.085357
19CS,A05269/R08303,A05269,R08303,5,258,1,SCHT,80,137.16,7482.241996
19CS,A03093/R05405,A03093,R05405,16,261,2,SCHT,78,147.32,7486.884257
19CS,A05269/R08306,A05269,R08306,16,309,2,SCHV,79,139.7,7488.086113
19CS,AN263/R11208,AN263,R11208,18,265,2,SCHT,80,111.76,7489.295118
19CS,ATx2930/R12148,ATx2930,R12148,18,313,2,SCHV,79,144.78,7489.295118
19CS,ATx2924/RTx2941,ATx2924,RTx2941,16,237,2,SCHT,80,152.4,7490.223946
19CS,A01021/R01302,A01021,R01302,16,285,2,SCHV,77,144.78,7491.427178
19CS,A11076/RTx2918,A11076,RTx2918,12,315,2,SCHV,80,137.16,7493.307985
19CS,A11077/R08306,A11077,R08306,12,267,2,SCHT,79,134.62,7494.280477
19CS,A01362/R07178,A01362,R07178,2,305,1,SCHV,82,127,7495.148113
19CS,A01362/R08304,A01362,R08304,2,257,1,SCHT,80,134.62,7497.249066
19CS,A01362/RTx2914,A01362,RTx2914,2,309,1,SCHV,79,139.7,7500.523728
19CS,A01362/RTx2919,A01362,RTx2919,2,261,1,SCHT,80,139.7,7501.73095
19CS,A08140/R05386,A08140,R05386,17,268,2,SCHT,77,144.78,7506.263696
19CS,A05071/R05405,A05071,R05405,16,289,2,SCHV,80,160.02,7506.526279
19CS,ATx2930/R07178,ATx2930,R07178,16,241,2,SCHT,80,137.16,7507.100093
19CS,ATx2930/R01302,ATx2930,R01302,17,316,2,SCHV,77,154.94,7507.44395
19CS,ATx2930/R01302,ATx2930,R01302,10,321,1,SCHV,75,165.1,7514.847534
19CS,ATx2926/R08297,ATx2926,R08297,10,311,1,SCHV,79,152.4,7515.933904
19CS,ATx2930/R02107,ATx2930,R02107,10,273,1,SCHT,76,149.86,7516.135205
19CS,ATx2926/R08304,ATx2926,R08304,10,263,1,SCHT,79,167.64,7516.613369
19CS,A03054/R05405,A03054,R05405,15,270,2,SCHT,77,139.7,7519.329814
19CS,ATx2931/R08304,ATx2931,R08304,12,275,2,SCHT,78,185.42,7521.179322
19CS,A03093/R05386,A03093,R05386,12,323,2,SCHV,78,134.62,7521.333448
19CS,AN290/RTx2942,AN290,RTx2942,15,318,2,SCHV,79,142.24,7521.333448
19CS,ATx2930/R05393,ATx2930,R05393,15,252,2,SCHT,76,139.7,7523.752169
19CS,A03054/R07161,A03054,R07161,15,300,2,SCHV,82,142.24,7526.007349
19CS,A07124/R07178,A07124,R07178,12,319,2,SCHV,82,127,7540.256378
19CS,A03054/RTx2941,A03054,RTx2941,12,271,2,SCHT,81,132.08,7541.592756
19CS,AKS116/RTx2940,AKS116,RTx2940,8,249,1,SCHT,75,127,7549.259444
19CS,AKS116/RTx2936,AKS116,RTx2936,8,297,1,SCHV,77,154.94,7550.875999
19CS,AN263/RTx2938,AN263,RTx2938,20,269,2,SCHT,80,124.46,7553.854398
19CS,AKS119/86EON361,AKS119,86EON361,13,318,2,SCHV,79,134.62,7553.917355
19CS,A11077/RTx2919,A11077,RTx2919,13,270,2,SCHT,78,137.16,7554.996486
19CS,A01021/RTx2943,A01021,RTx2943,2,293,1,SCHV,77,152.4,7555.207119
19CS,ATx2934/88BE2668,ATx2934,88BE2668,20,317,2,SCHV,82,129.54,7555.80893
19CS,A01021/86EON361,A01021,86EON361,2,245,1,SCHT,75,134.62,7556.459364
19CS,ATx3408/R05330,ATx3408,R05330,12,257,2,SCHT,85,149.86,7559.631024
19CS,ATx2926/R08297,ATx2926,R08297,12,305,2,SCHV,81,132.08,7560.99431
19CS,A03089/RTx2917,A03089,RTx2917,13,238,2,SCHT,82,129.54,7566.498088
19CS,ATx644/R05330,ATx644,R05330,14,245,2,SCHT,81,134.62,7566.730988
19CS,A07124/RTx2919,A07124,RTx2919,13,286,2,SCHV,81,132.08,7567.334258
19CS,A11085/R02107,A11085,R02107,14,293,2,SCHV,79,147.32,7569.128921
19CS,A01021/R01302,A01021,R01302,2,285,1,SCHV,76,144.78,7572.531603
19CS,A01021/R02107,A01021,R02107,2,237,1,SCHT,73,160.02,7575.026328
19CS,ATx2921/RTx2914,ATx2921,RTx2914,13,304,2,SCHV,82,149.86,7579.186214
19CS,A08134/RTx2918,A08134,RTx2918,13,256,2,SCHT,77,142.24,7581.024548
19CS,A05071/R12154,A05071,R12154,4,321,1,SCHV,79,139.7,7581.217773
19CS,A05071/R05425,A05071,R05425,4,273,1,SCHT,77,167.64,7582.758671
19CS,A03043/R01302,A03043,R01302,14,299,2,SCHV,82,142.24,7585.428053
19CS,AKS116/RTx2942,AKS116,RTx2942,19,306,2,SCHV,80,124.46,7586.166258
19CS,A07124/R04060,A07124,R04060,14,251,2,SCHT,81,139.7,7587.316542
19CS,ATx2923/R03248,ATx2923,R03248,9,240,1,SCHT,78,139.7,7587.756808
19CS,ATx2923/R04104,ATx2923,R04104,9,288,1,SCHV,81,142.24,7588.123638
19CS,AKS120/R05425,AKS120,R05425,9,324,1,SCHV,77,172.72,7589.164542
19CS,AKS120/R07161,AKS120,R07161,9,276,1,SCHT,78,175.26,7590.347136
19CS,A03121/R08224,A03121,R08224,20,319,2,SCHV,85,177.8,7593.253982
19CS,ATx2931/R08306,ATx2931,R08306,18,285,2,SCHV,77,154.94,7593.471734
19CS,A08134/RTx2940,A08134,RTx2940,18,237,2,SCHT,71,139.7,7593.837056
19CS,AKS119/RTx2914,AKS119,RTx2914,20,271,2,SCHT,74,152.4,7594.388843
19CS,A06036/RTx2919,A06036,RTx2919,20,307,2,SCHV,84,129.54,7603.895139
19CS,A11076/R08297,A11076,R08297,20,259,2,SCHT,82,129.54,7605.151116
19CS,A05071/R11158,A05071,R11158,4,275,1,SCHT,77,157.48,7617.552168
19CS,A05071/RTx2916,A05071,RTx2916,4,323,1,SCHV,79,144.78,7617.861209
19CS,A03089/88BE2668,A03089,88BE2668,4,291,1,SCHV,82,139.7,7633.52503
19CS,A08068/R07161,A08068,R07161,6,309,1,SCHV,82,154.94,7634.421763
19CS,A08068/R11158,A08068,R11158,6,261,1,SCHT,78,144.78,7635.04968
19CS,A03089/R12157,A03089,R12157,4,243,1,SCHT,82,134.62,7635.301484
19CS,A07124/R01302,A07124,R01302,6,297,1,SCHV,77,152.4,7637.912982
19CS,A07124/R04060,A07124,R04060,6,249,1,SCHT,80,137.16,7639.117039
19CS,AN290/R07161,AN290,R07161,14,319,2,SCHV,82,152.4,7639.496473
19CS,A06036/R08306,A06036,R08306,14,271,2,SCHT,76,127,7641.03773
19CS,A03017/RTx2920,A03017,RTx2920,2,317,1,SCHV,79,124.46,7641.315663
19CS,A03032/R04060,A03032,R04060,2,269,1,SCHT,80,119.38,7642.033158
19CS,A07124/R11158,A07124,R11158,15,256,2,SCHT,79,162.56,7644.692747
19CS,ATx2931/R05405,ATx2931,R05405,15,304,2,SCHV,76,127,7646.633251
19CS,A06035/RTx2913,A06035,RTx2913,5,292,1,SCHV,82,139.7,7649.166119
19CS,A06035/RTx2917,A06035,RTx2917,5,244,1,SCHT,80,132.08,7651.515692
19CS,A06035/RTx2920,A06035,RTx2920,5,290,1,SCHV,81,124.46,7663.073563
19CS,A06035/RTx2936,A06035,RTx2936,5,242,1,SCHT,79,142.24,7664.22198
19CS,A08134/R12148,A08134,R12148,6,321,1,SCHV,79,165.1,7698.850775
19CS,A08134/RTx2918,A08134,RTx2918,6,273,1,SCHT,76,152.4,7701.1076
19CS,A01046/R05512,A01046,R05512,20,297,2,SCHV,79,132.08,7704.348427
19CS,A03040/R05393,A03040,R05393,20,239,2,SCHT,77,147.32,7705.908833
19CS,A08134/R07178,A08134,R07178,20,249,2,SCHT,78,129.54,7705.975367
19CS,A11085/R12148,A11085,R12148,20,287,2,SCHV,77,139.7,7707.3168
19CS,A08158/R12145,A08158,R12145,21,260,2,SCHT,86,139.7,7715.456806
19CS,A03043/R05425,A03043,R05425,21,308,2,SCHV,82,142.24,7717.505702
19CS,AKS117/RTx2915,AKS117,RTx2915,16,251,2,SCHT,85,137.16,7720.679893
19CS,ATx2924/RTx2918,ATx2924,RTx2918,16,255,2,SCHT,80,149.86,7720.885842
19CS,ATx2931/RTx2943,ATx2931,RTx2943,11,306,1,SCHV,79,170.18,7721.287655
19CS,ATx2934/R05386,ATx2934,R05386,11,258,1,SCHT,77,132.08,7721.444168
19CS,A08158/R12071,A08158,R12071,16,299,2,SCHV,79,149.86,7721.463532
19CS,A03040/RTx2942,A03040,RTx2942,18,243,2,SCHT,78,142.24,7722.099202
19CS,A07124/R01302,A07124,R01302,16,303,2,SCHV,77,149.86,7722.778422
19CS,A01362/R12145,A01362,R12145,18,291,2,SCHV,82,134.62,7724.46062
19CS,A05269/RTx2919,A05269,RTx2919,14,247,2,SCHT,82,142.24,7730.902552
19CS,A08158/R03248,A08158,R03248,14,295,2,SCHV,80,149.86,7731.111642
19CS,ATx2924/RTx2940,ATx2924,RTx2940,10,303,1,SCHV,77,132.08,7734.147016
19CS,ATx2924/RTx2941,ATx2924,RTx2941,10,255,1,SCHT,80,142.24,7736.563937
19CS,A01021/R07178,A01021,R07178,19,242,2,SCHT,79,137.16,7741.556619
19CS,A01021/R05425,A01021,R05425,19,290,2,SCHV,77,185.42,7741.660673
19CS,A08158/R12154,A08158,R12154,20,291,2,SCHV,80,152.4,7752.346099
19CS,A05071/R11158,A05071,R11158,20,243,2,SCHT,78,144.78,7753.761334
19CS,A03055/R05330,A03055,R05330,14,267,2,SCHT,80,165.1,7757.247055
19CS,ATx2923/R04104,ATx2923,R04104,14,315,2,SCHV,77,144.78,7758.840985
19CS,A03040/RTx2917,A03040,RTx2917,13,246,2,SCHT,78,149.86,7762.143166
19CS,A03089/RTx2914,A03089,RTx2914,13,294,2,SCHV,81,149.86,7762.666609
19CS,A03121/R05330,A03121,R05330,18,269,2,SCHT,79,152.4,7771.499452
19CS,A05210/R05512,A05210,R05512,18,317,2,SCHV,81,160.02,7773.919148
19CS,AN263/R12148,AN263,R12148,9,312,1,SCHV,79,142.24,7774.276884
19CS,AN263/RTx2935,AN263,RTx2935,9,264,1,SCHT,80,127,7775.850625
19CS,A05269/88BE2668,A05269,88BE2668,5,296,1,SCHV,81,139.7,7777.57727
19CS,A06035/R03248,A06035,R03248,5,248,1,SCHT,79,137.16,7778.153387
19CS,A01046/RTx2935,A01046,RTx2935,2,301,1,SCHV,77,129.54,7795.85472
19CS,A01362/R04060,A01362,R04060,2,253,1,SCHT,80,132.08,7796.325926
19CS,A11077/RTx2935,A11077,RTx2935,7,286,1,SCHV,82,137.16,7811.092009
19CS,A11077/RTx2943,A11077,RTx2943,7,238,1,SCHT,80,119.38,7812.705226
19CS,ATx2924/R11158,ATx2924,R11158,10,249,1,SCHT,79,162.56,7820.954929
19CS,ATx2924/R08224,ATx2924,R08224,10,297,1,SCHV,82,172.72,7823.411177
19CS,A03093/RTx2944,A03093,RTx2944,16,271,2,SCHT,75,132.08,7825.224307
19CS,A11077/R08306,A11077,R08306,7,244,1,SCHT,75,132.08,7827.558201
19CS,ATx2924/RTx2940,ATx2924,RTx2940,16,319,2,SCHV,77,134.62,7827.756057
19CS,A11077/R05405,A11077,R05405,7,292,1,SCHV,79,160.02,7830.116039
19CS,AKS120/R07161,AKS120,R07161,17,244,2,SCHT,80,167.64,7841.012864
19CS,A03054/RTx2936,A03054,RTx2936,3,246,1,SCHT,78,137.16,7841.569383
19CS,A03055/R04104,A03055,R04104,3,294,1,SCHV,79,121.92,7841.621625
19CS,A07118/RTx2919,A07118,RTx2919,17,292,2,SCHV,84,134.62,7841.695206
19CS,A03043/R08297,A03043,R08297,3,258,1,SCHT,82,127,7848.28722
19CS,A03043/RTx2913,A03043,RTx2913,3,306,1,SCHV,82,134.62,7849.541474
19CS,A06035/RTx2943,A06035,RTx2943,5,288,1,SCHV,84,132.08,7866.746912
19CS,A06035/88BE2668,A06035,88BE2668,5,240,1,SCHT,82,127,7868.308807
19CS,A05269/R01302,A05269,R01302,18,311,2,SCHV,84,139.7,7884.85327
19CS,A11076/RTx2918,A11076,RTx2918,18,263,2,SCHT,80,137.16,7886.7982
19CS,A03043/R05386,A03043,R05386,14,255,2,SCHT,83,127,7895.452803
19CS,ATx2934/R08297,ATx2934,R08297,14,303,2,SCHV,81,127,7895.505195
19CS,AN290/R07161,AN290,R07161,9,302,1,SCHV,82,137.16,7901.977947
19CS,AN290/R12154,AN290,R12154,9,254,1,SCHT,80,127,7903.079817
19CS,A11077/R05405,A11077,R05405,12,309,2,SCHV,82,154.94,7909.102761
19CS,AKS117/R12148,AKS117,R12148,12,261,2,SCHT,82,124.46,7911.346108
19CS,A03121/RTx2935,A03121,RTx2935,4,267,1,SCHT,80,116.84,7918.305435
19CS,A05071/R04060,A05071,R04060,4,315,1,SCHV,82,147.32,7919.122366
19CS,ATx2923/R05405,ATx2923,R05405,15,244,2,SCHT,74,167.64,7920.814668
19CS,A03040/RTx2913,A03040,RTx2913,15,292,2,SCHV,79,152.4,7922.965936
19CS,A08140/R12148,A08140,R12148,12,317,2,SCHV,82,154.94,7924.663688
19CS,A03093/R05405,A03093,R05405,4,249,1,SCHT,80,160.02,7925.563933
19CS,A03093/R12148,A03093,R12148,4,297,1,SCHV,81,137.16,7926.035409
19CS,A05210/88BE2668,A05210,88BE2668,12,269,2,SCHT,83,147.32,7927.017042
19CS,A01362/88BE2668,A01362,88BE2668,21,290,2,SCHV,79,127,7930.654872
19CS,ATx2934/R11208,ATx2934,R11208,21,242,2,SCHT,82,127,7932.955128
19CS,A01362/RTx2914,A01362,RTx2914,19,304,2,SCHV,81,134.62,7946.082396
19CS,A05071/R05330,A05071,R05330,19,256,2,SCHT,82,121.92,7947.287142
19CS,A01046/R05386,A01046,R05386,20,257,2,SCHT,79,114.3,7956.108283
19CS,ATx2924/RTx2920,ATx2924,RTx2920,20,305,2,SCHV,79,137.16,7956.63382
19CS,A01046/R05386,A01046,R05386,2,247,1,SCHT,77,124.46,7963.722268
19CS,A01046/R04104,A01046,R04104,2,295,1,SCHV,79,129.54,7965.139926
19CS,ATx2921/R05330,ATx2921,R05330,9,248,1,SCHT,83,180.34,7966.896662
19CS,ATx2921/R01302,ATx2921,R01302,9,296,1,SCHV,84,139.7,7967.944387
19CS,A03040/R07178,A03040,R07178,3,322,1,SCHV,79,149.86,7982.91487
19CS,A01046/R12156,A01046,R12156,2,299,1,SCHV,79,127,7983.12006
19CS,A01046/RTx2914,A01046,RTx2914,2,251,1,SCHT,77,134.62,7984.838539
19CS,A03040/R08306,A03040,R08306,3,274,1,SCHT,77,142.24,7985.236985
19CS,A06035/RTx2920,A06035,RTx2920,15,306,2,SCHV,77,121.92,7987.052167
19CS,A11085/R07178,A11085,R07178,15,258,2,SCHT,76,134.62,7987.104679
19CS,AKS118/R12156,AKS118,R12156,21,258,2,SCHT,83,114.3,8009.310491
19CS,ATx2923/RTx2917,ATx2923,RTx2917,21,306,2,SCHV,80,129.54,8010.309807
19CS,AKS118/RTx2943,AKS118,RTx2943,17,302,2,SCHV,82,139.7,8011.171844
19CS,AKS119/RTx2919,AKS119,RTx2919,17,254,2,SCHT,81,144.78,8012.689309
19CS,A05210/R03248,A05210,R03248,5,274,1,SCHT,78,149.86,8018.122258
19CS,A05071/RTx2942,A05071,RTx2942,5,322,1,SCHV,77,139.7,8019.201766
19CS,A03055/RTx2918,A03055,RTx2918,3,238,1,SCHT,78,142.24,8022.064469
19CS,A03055/RTx2943,A03055,RTx2943,3,286,1,SCHV,82,142.24,8022.272434
19CS,A11077/R04060,A11077,R04060,15,274,2,SCHT,79,134.62,8045.956642
19CS,A11077/RTx2917,A11077,RTx2917,15,322,2,SCHV,79,132.08,8047.973808
19CS,AKS118/RTx2912,AKS118,RTx2912,14,323,2,SCHV,79,144.78,8069.220827
19CS,A11077/RTx2943,A11077,RTx2943,14,275,2,SCHT,78,139.7,8070.969415
19CS,A03043/RTx2913,A03043,RTx2913,19,288,2,SCHV,83,137.16,8075.563765
19CS,ATx2923/R08297,ATx2923,R08297,19,240,2,SCHT,80,144.78,8078.165429
19CS,A07118/RTx2919,A07118,RTx2919,6,295,1,SCHV,81,129.54,8105.383891
19CS,A07118/RTx2944,A07118,RTx2944,6,247,1,SCHT,79,137.16,8105.488747
19CS,AKS118/R01122,AKS118,R01122,18,247,2,SCHT,81,142.24,8118.658297
19CS,A06036/R11158,A06036,R11158,18,295,2,SCHV,79,132.08,8120.181488
19CS,ATx2924/R05393,ATx2924,R05393,13,312,2,SCHV,81,142.24,8120.791674
19CS,A05210/RTx2943,A05210,RTx2943,13,264,2,SCHT,80,165.1,8123.201715
19CS,A08158/R08224,A08158,R08224,7,264,1,SCHT,83,172.72,8126.696744
19CS,A08158/R07178,A08158,R07178,7,312,1,SCHV,81,152.4,8126.958735
19CS,A08158/RTx2917,A08158,RTx2917,17,256,2,SCHT,82,139.7,8129.914509
19CS,ATx2926/R12154,ATx2926,R12154,17,304,2,SCHV,82,129.54,8131.912006
19CS,A03043/R05330,A03043,R05330,3,312,1,SCHV,82,139.7,8132.232054
19CS,A06036/R12156,A06036,R12156,6,237,1,SCHT,80,129.54,8133.163227
19CS,A03043/R01122,A03043,R01122,3,264,1,SCHT,84,147.32,8134.22705
19CS,A06036/R11158,A06036,R11158,6,285,1,SCHV,77,127,8135.302723
19CS,ATx2921/RTx2918,ATx2921,RTx2918,9,242,1,SCHT,82,142.24,8140.394135
19CS,ATx2921/RTx2914,ATx2921,RTx2914,9,290,1,SCHV,86,154.94,8140.810545
19CS,A08134/RTx2936,A08134,RTx2936,6,323,1,SCHV,72,160.02,8145.833209
19CS,A08134/RTx2940,A08134,RTx2940,6,275,1,SCHT,70,147.32,8147.114
19CS,ATx2926/R05405,ATx2926,R05405,10,309,1,SCHV,77,162.56,8151.877635
19CS,ATx2926/R07161,ATx2926,R07161,10,261,1,SCHT,82,160.02,8152.924761
19CS,ATx2930/RTx2940,ATx2930,RTx2940,11,270,1,SCHT,73,142.24,8166.812105
19CS,ATx2930/RTx2920,ATx2930,RTx2920,11,318,1,SCHV,78,139.7,8167.326097
19CS,ATx2924/86EON361,ATx2924,86EON361,18,309,2,SCHV,82,147.32,8181.934058
19CS,ATx2921/R07178,ATx2921,R07178,18,261,2,SCHT,82,142.24,8184.243263
19CS,ATx2930/R05425,ATx2930,R05425,20,321,2,SCHV,77,177.8,8193.391787
19CS,AN263/RTx2935,AN263,RTx2935,20,273,2,SCHT,84,119.38,8195.092302
19CS,A11077/R01302,A11077,R01302,19,322,2,SCHV,81,134.62,8208.66138
19CS,A11076/R04060,A11076,R04060,19,274,2,SCHT,84,132.08,8210.256794
19CS,A03093/R02107,A03093,R02107,4,247,1,SCHT,79,129.54,8212.021738
19CS,A03093/R07178,A03093,R07178,4,295,1,SCHV,81,134.62,8212.283609
19CS,A05210/R12157,A05210,R12157,14,301,2,SCHV,82,147.32,8222.357054
19CS,A05210/R08224,A05210,R08224,14,253,2,SCHT,83,195.58,8222.775761
19CS,A07124/RTx2917,A07124,RTx2917,6,255,1,SCHT,81,132.08,8230.42147
19CS,A07124/R11208,A07124,R11208,6,303,1,SCHV,82,127,8232.408964
19CS,A03040/RTx2917,A03040,RTx2917,3,268,1,SCHT,77,142.24,8249.027672
