wave,V1,V2
687.5,0.763597201,9.29E-71
688,0.763128926,1.27E-70
688.5,0.762660188,1.73E-70
689,0.762190979,2.36E-70
689.5,0.761721223,3.21E-70
690,0.761250825,4.38E-70
690.5,0.760779901,5.96E-70
691,0.76030829,8.11E-70
691.5,0.759835914,1.10E-69
692,0.759362676,1.50E-69
692.5,0.758888632,2.05E-69
693,0.758413732,2.78E-69
693.5,0.7579378,3.79E-69
694,0.757460706,5.15E-69
694.5,0.756982576,7.01E-69
695,0.756503207,9.54E-69
695.5,0.756022544,1.30E-68
696,0.755540535,1.77E-68
696.5,0.755057163,2.40E-68
697,0.75457229,3.27E-68
697.5,0.754085833,4.46E-68
698,0.753597868,6.07E-68
698.5,0.753108216,8.27E-68
699,0.752616932,1.13E-67
699.5,0.752123789,1.54E-67
700,0.751628932,2.10E-67
700.5,0.751132219,2.86E-67
701,0.750633661,3.91E-67
701.5,0.750133093,5.34E-67
702,0.749630573,7.29E-67
702.5,0.749126167,9.97E-67
703,0.748619712,1.36E-66
703.5,0.748111209,1.87E-66
704,0.747600759,2.56E-66
704.5,0.747088216,3.50E-66
705,0.74657383,4.80E-66
705.5,0.746057394,6.58E-66
706,0.745538933,9.03E-66
706.5,0.745018654,1.24E-65
707,0.74449636,1.70E-65
707.5,0.74397216,2.34E-65
708,0.743446067,3.21E-65
708.5,0.742917963,4.41E-65
709,0.742387919,6.06E-65
709.5,0.741855913,8.34E-65
710,0.741321887,1.15E-64
710.5,0.740785878,1.58E-64
711,0.740247922,2.18E-64
711.5,0.739707965,3.00E-64
712,0.739166096,4.13E-64
712.5,0.738622146,5.70E-64
713,0.738076509,7.86E-64
713.5,0.737528953,1.08E-63
714,0.736979544,1.50E-63
714.5,0.736428393,2.06E-63
715,0.735875348,2.85E-63
715.5,0.735320696,3.93E-63
716,0.73476432,5.43E-63
716.5,0.734206193,7.50E-63
717,0.733646325,1.04E-62
717.5,0.733084893,1.43E-62
718,0.732521752,1.98E-62
718.5,0.731957086,2.74E-62
719,0.731390647,3.78E-62
719.5,0.730822864,5.22E-62
720,0.730253512,7.22E-62
720.5,0.729682638,9.98E-62
721,0.729110546,1.38E-61
721.5,0.728537022,1.91E-61
722,0.727962146,2.63E-61
722.5,0.727385922,3.64E-61
723,0.726808356,5.03E-61
723.5,0.72622947,6.95E-61
724,0.725649132,9.60E-61
724.5,0.725067405,1.33E-60
725,0.724484406,1.83E-60
725.5,0.723899744,2.53E-60
726,0.72331378,3.50E-60
726.5,0.722726453,4.83E-60
727,0.722137717,6.67E-60
727.5,0.721547712,9.21E-60
728,0.720956435,1.27E-59
728.5,0.720364036,1.75E-59
729,0.719770481,2.42E-59
729.5,0.719175805,3.34E-59
730,0.718580337,4.61E-59
730.5,0.717983751,6.36E-59
731,0.717386393,8.76E-59
731.5,0.716788118,1.21E-58
732,0.716188918,1.66E-58
732.5,0.715589046,2.29E-58
733,0.714988206,3.15E-58
733.5,0.714386724,4.33E-58
734,0.713784325,5.96E-58
734.5,0.713181057,8.19E-58
735,0.712576953,1.13E-57
735.5,0.711971968,1.55E-57
