"","pedigree","female","male","env","blue"
"283","ATx2921/R05330","ATx2921","R05330","19CS",8606.3119
"284","ATx2921/R05405","ATx2921","R05405","19CS",9553.5531
"285","ATx2921/R07178","ATx2921","R07178","19CS",8857.8529
"286","ATx2921/R12145","ATx2921","R12145","19CS",6852.3272
"287","ATx2921/R12157","ATx2921","R12157","19CS",7391.6012
"288","ATx2921/RTx2914","ATx2921","RTx2914","19CS",7859.9984
"289","ATx2921/RTx2918","ATx2921","RTx2918","19CS",7681.8401
"290","ATx2923/R03248","ATx2923","R03248","19CS",8271.3204
"291","ATx2923/R04104","ATx2923","R04104","19CS",7673.4823
"292","ATx2923/R05330","ATx2923","R05330","19CS",7778.4997
"293","ATx2923/R05405","ATx2923","R05405","19CS",7451.0255
"294","ATx2923/R05425","ATx2923","R05425","19CS",8905.8408
"295","ATx2923/R08297","ATx2923","R08297","19CS",8524.2253
"296","ATx2923/R11158","ATx2923","R11158","19CS",8130.767
"297","ATx2923/R11208","ATx2923","R11208","19CS",7281.1085
"298","ATx2923/R12145","ATx2923","R12145","19CS",6974.3521
"299","ATx2923/RTx2913","ATx2923","RTx2913","19CS",7994.5344
"300","ATx2923/RTx2917","ATx2923","RTx2917","19CS",6862.8197
"301","ATx2923/RTx2936","ATx2923","RTx2936","19CS",6227.7924
"302","ATx2924/R04060","ATx2924","R04060","19CS",7886.7918
"303","ATx2924/R05386","ATx2924","R05386","19CS",8026.4906
"304","ATx2924/R05393","ATx2924","R05393","19CS",7126.9086
"305","ATx2924/R05512","ATx2924","R05512","19CS",6180.492
"306","ATx2924/R08224","ATx2924","R08224","19CS",8407.8971
"307","ATx2924/R11158","ATx2924","R11158","19CS",8181.5675
"308","ATx2924/R12145","ATx2924","R12145","19CS",7060.1705
"309","ATx2924/RTx2918","ATx2924","RTx2918","19CS",7248.4889
"310","ATx2924/RTx2920","ATx2924","RTx2920","19CS",7330.5892
"311","ATx2924/RTx2936","ATx2924","RTx2936","19CS",6287.7007
"312","ATx2924/RTx2940","ATx2924","RTx2940","19CS",7780.9515
"313","ATx2924/RTx2941","ATx2924","RTx2941","19CS",7613.3939
"314","ATx2926/R01302","ATx2926","R01302","19CS",7510.0704
"315","ATx2926/R05393","ATx2926","R05393","19CS",7563.3559
"316","ATx2926/R05405","ATx2926","R05405","19CS",8424.1756
"317","ATx2926/R07161","ATx2926","R07161","19CS",8432.8215
"318","ATx2926/R08297","ATx2926","R08297","19CS",7538.4641
"319","ATx2926/R08304","ATx2926","R08304","19CS",6653.8508
"320","ATx2926/R12154","ATx2926","R12154","19CS",7730.479
"321","ATx2926/RTx2913","ATx2926","RTx2913","19CS",8914.7558
"322","ATx2926/RTx2917","ATx2926","RTx2917","19CS",5881.7554
"323","ATx2926/RTx2919","ATx2926","RTx2919","19CS",7386.3993
"324","ATx2926/RTx2944","ATx2926","RTx2944","19CS",8207.3602
"325","ATx2927/R12157","ATx2927","R12157","19CS",8132.3816
"326","ATx2927/RTx2936","ATx2927","RTx2936","19CS",8162.5092
"327","ATx2927/RTx2937","ATx2927","RTx2937","19CS",8302.416
"328","ATx2930/R01302","ATx2930","R01302","19CS",7511.1457
"329","ATx2930/R02107","ATx2930","R02107","19CS",8022.3542
"330","ATx2930/R03248","ATx2930","R03248","19CS",6143.0111
"331","ATx2930/R05393","ATx2930","R05393","19CS",7000.8421
"332","ATx2930/R05425","ATx2930","R05425","19CS",8392.0191
"333","ATx2930/R07178","ATx2930","R07178","19CS",8047.9956
"334","ATx2930/R08303","ATx2930","R08303","19CS",7942.0303
"335","ATx2930/R11158","ATx2930","R11158","19CS",7174.2983
"336","ATx2930/R12148","ATx2930","R12148","19CS",7330.8488
"337","ATx2930/R12154","ATx2930","R12154","19CS",8490.7381
"338","ATx2930/RTx2920","ATx2930","RTx2920","19CS",7579.6791
"339","ATx2930/RTx2940","ATx2930","RTx2940","19CS",8827.5973
"340","ATx2930/RTx2942","ATx2930","RTx2942","19CS",6986.5537
"341","ATx2931/R01302","ATx2931","R01302","19CS",6855.5716
"342","ATx2931/R05405","ATx2931","R05405","19CS",7203.8497
"343","ATx2931/R07161","ATx2931","R07161","19CS",8589.2818
"344","ATx2931/R08297","ATx2931","R08297","19CS",8722.5273
"345","ATx2931/R08304","ATx2931","R08304","19CS",7895.6207
"346","ATx2931/R08306","ATx2931","R08306","19CS",7122.4588
"347","ATx2931/R11208","ATx2931","R11208","19CS",6420.6847
"348","ATx2931/RTx2936","ATx2931","RTx2936","19CS",8840.2602
"349","ATx2931/RTx2940","ATx2931","RTx2940","19CS",7453.207
"350","ATx2931/RTx2943","ATx2931","RTx2943","19CS",8109.7868
"351","ATx2934/R05386","ATx2934","R05386","19CS",8707.6664
"352","ATx2934/R08297","ATx2934","R08297","19CS",7187.4974
"353","ATx2934/R11208","ATx2934","R11208","19CS",7205.5681
"354","ATx2934/R12157","ATx2934","R12157","19CS",8299.9867
"355","ATx2934/RTx2935","ATx2934","RTx2935","19CS",7259.5029
"356","ATx2934/RTx2941","ATx2934","RTx2941","19CS",9153.1239
"357","ATx3408/R05330","ATx3408","R05330","19CS",6839.7727
"358","ATx3408/R12145","ATx3408","R12145","19CS",7247.6171
"359","ATx3408/RTx2935","ATx3408","RTx2935","19CS",6012.1386
"360","ATx3409/R08224","ATx3409","R08224","19CS",3323.3216
"361","ATx644/R05330","ATx644","R05330","19CS",5090.6132
"362","ATx644/R08224","ATx644","R08224","19CS",5871.5751
"363","ATx644/RTx2935","ATx644","RTx2935","19CS",7519.1946
"364","ATx644/RTx2936","ATx644","RTx2936","19CS",6455.7844
"365","A01021/R02107","A01021","R02107","19TA",5821.6949
"366","A01021/R07178","A01021","R07178","19TA",6578.0445
"367","A01021/R12145","A01021","R12145","19TA",6945.2349
"368","A01021/RTx2935","A01021","RTx2935","19TA",6637.6737
"369","A01046/R05386","A01046","R05386","19TA",5975.4755
