pedigree,female,male,env,blue
ATx644/R08224,ATx644,R08224,19CS,85.5
ATx644/RTx2935,ATx644,RTx2935,19CS,81.5
ATx644/RTx2936,ATx644,RTx2936,19CS,81.5
A01021/R02107,A01021,R02107,19TA,68
A01021/R07178,A01021,R07178,19TA,68.5
A01021/R12145,A01021,R12145,19TA,70
A01021/RTx2935,A01021,RTx2935,19TA,67.5
A01046/R05386,A01046,R05386,19TA,69.5
A01046/R11208,A01046,R11208,19TA,69.5
A01046/RTx2914,A01046,RTx2914,19TA,70.5
A01362/R04060,A01362,R04060,19TA,71.5
A01362/R05512,A01362,R05512,19TA,72.5
A01362/R08304,A01362,R08304,19TA,70.5
A01362/RTx2912,A01362,RTx2912,19TA,73.5
A01362/RTx2919,A01362,RTx2919,19TA,69.5
A01362/RTx2943,A01362,RTx2943,19TA,69
A03017/R04104,A03017,R04104,19TA,69
A03017/RTx2918,A03017,RTx2918,19TA,70
A03032/R04060,A03032,R04060,19TA,71
A03032/RTx2913,A03032,RTx2913,19TA,70
A03032/RTx2942,A03032,RTx2942,19TA,69
A03040/R04104,A03040,R04104,19TA,70
A03040/R05393,A03040,R05393,19TA,69
A03040/R08306,A03040,R08306,19TA,68
A03040/R12071,A03040,R12071,19TA,66
A03040/R12154,A03040,R12154,19TA,68
A03040/RTx2917,A03040,RTx2917,19TA,68.5
A03040/RTx2942,A03040,RTx2942,19TA,69
A03043/R04104,A03043,R04104,19TA,71.5
A03043/R05386,A03043,R05386,19TA,70.5
A03043/R08297,A03043,R08297,19TA,71.5
A03043/R12148,A03043,R12148,19TA,72
A03043/RTx2920,A03043,RTx2920,19TA,71.5
A03054/R05405,A03054,R05405,19TA,69
A03054/R12156,A03054,R12156,19TA,71
A03054/RTx2936,A03054,RTx2936,19TA,69
A03054/RTx2941,A03054,RTx2941,19TA,69.5
A03055/R05330,A03055,R05330,19TA,70
A03055/R08297,A03055,R08297,19TA,70.5
A03055/RTx2918,A03055,RTx2918,19TA,69
A03055/RTx2942,A03055,RTx2942,19TA,70
A03055/RTx2944,A03055,RTx2944,19TA,68
