"","pedigree","female","male","env","blue"
"252","AKS119/RTx2914","AKS119","RTx2914","19CS",154.94
"253","AKS119/RTx2918","AKS119","RTx2918","19CS",142.24
"254","AKS119/RTx2919","AKS119","RTx2919","19CS",143.51
"255","AKS120/R04060","AKS120","R04060","19CS",148.59
"256","AKS120/R05425","AKS120","R05425","19CS",167.64
"257","AKS120/R07161","AKS120","R07161","19CS",171.45
"258","AKS120/R08303","AKS120","R08303","19CS",149.86
"259","AKS120/R08306","AKS120","R08306","19CS",154.94
"260","AKS120/R12071","AKS120","R12071","19CS",149.86
"261","AKS120/RTx2918","AKS120","R12148","19CS",158.75
"262","AKS120/RTx2935","AKS120","RTx2935","19CS",162.56
"263","AKS120/RTx2942","AKS120","RTx2942","19CS",162.56
"264","AN263/R08224","AN263","R08224","19CS",143.51
"265","AN263/R11208","AN263","R11208","19CS",114.3
"266","AN263/R12148","AN263","R12148","19CS",139.7
"267","AN263/RTx2935","AN263","RTx2935","19CS",123.19
"268","AN263/RTx2936","AN263","RTx2936","19CS",129.54
"269","AN263/RTx2938","AN263","RTx2938","19CS",123.19
"270","AN268/R11158","AN268","R11158","19CS",124.46
"271","AN268/R12148","AN268","R12148","19CS",121.92
"272","AN268/R12154","AN268","R12154","19CS",115.57
"273","AN290/R02107","AN290","R02107","19CS",135.89
"274","AN290/R03248","AN290","R03248","19CS",139.7
"275","AN290/R05386","AN290","R05386","19CS",116.84
"276","AN290/R07161","AN290","R07161","19CS",144.78
"277","AN290/R12154","AN290","R12154","19CS",128.27
"278","AN290/RTx2917","AN290","RTx2917","19CS",116.84
"279","AN290/RTx2920","AN290","RTx2920","19CS",124.46
"280","AN290/RTx2942","AN290","RTx2942","19CS",132.08
"281","AN290/RTx2943","AN290","RTx2943","19CS",134.62
"282","ATx2921/R01302","ATx2921","R01302","19CS",148.59
"283","ATx2921/R05330","ATx2921","R05330","19CS",176.53
"284","ATx2921/R05405","ATx2921","R05405","19CS",163.83
"285","ATx2921/R07178","ATx2921","R07178","19CS",143.51
"286","ATx2921/R12145","ATx2921","R12145","19CS",138.43
"287","ATx2921/R12157","ATx2921","R12157","19CS",138.43
"288","ATx2921/RTx2914","ATx2921","RTx2914","19CS",152.4
"289","ATx2921/RTx2918","ATx2921","RTx2918","19CS",144.78
"290","ATx2923/R03248","ATx2923","R03248","19CS",140.97
"291","ATx2923/R04104","ATx2923","R04104","19CS",143.51
"292","ATx2923/R05330","ATx2923","R05330","19CS",148.59
"293","ATx2923/R05405","ATx2923","R05405","19CS",153.67
"294","ATx2923/R05425","ATx2923","R05425","19CS",149.86
"295","ATx2923/R08297","ATx2923","R08297","19CS",134.62
"296","ATx2923/R11158","ATx2923","R11158","19CS",146.05
"297","ATx2923/R11208","ATx2923","R11208","19CS",114.3
"298","ATx2923/R12145","ATx2923","R12145","19CS",132.08
"299","ATx2923/RTx2913","ATx2923","RTx2913","19CS",147.32
"300","ATx2923/RTx2917","ATx2923","RTx2917","19CS",128.27
"301","ATx2923/RTx2936","ATx2923","RTx2936","19CS",149.86
"302","ATx2924/R04060","ATx2924","R04060","19CS",140.97
"303","ATx2924/R05386","ATx2924","R05386","19CS",135.89
"304","ATx2924/R05393","ATx2924","R05393","19CS",142.24
"305","ATx2924/R05512","ATx2924","R05512","19CS",147.32
"306","ATx2924/R08224","ATx2924","R08224","19CS",171.45
"307","ATx2924/R11158","ATx2924","R11158","19CS",161.29
"308","ATx2924/R12145","ATx2924","R12145","19CS",142.24
"309","ATx2924/RTx2918","ATx2924","RTx2918","19CS",146.05
"310","ATx2924/RTx2920","ATx2924","RTx2920","19CS",134.62
"311","ATx2924/RTx2936","ATx2924","RTx2936","19CS",162.56
"312","ATx2924/RTx2940","ATx2924","RTx2940","19CS",133.35
"313","ATx2924/RTx2941","ATx2924","RTx2941","19CS",147.32
"314","ATx2926/R01302","ATx2926","R01302","19CS",147.32
"315","ATx2926/R05393","ATx2926","R05393","19CS",139.7
"316","ATx2926/R05405","ATx2926","R05405","19CS",167.64
"317","ATx2926/R07161","ATx2926","R07161","19CS",160.02
"318","ATx2926/R08297","ATx2926","R08297","19CS",142.24
"319","ATx2926/R08304","ATx2926","R08304","19CS",165.1
"320","ATx2926/R12154","ATx2926","R12154","19CS",130.81
"321","ATx2926/RTx2913","ATx2926","RTx2913","19CS",151.13
"322","ATx2926/RTx2917","ATx2926","RTx2917","19CS",138.43
"323","ATx2926/RTx2919","ATx2926","RTx2919","19CS",142.24
"324","ATx2926/RTx2944","ATx2926","RTx2944","19CS",154.94
"325","ATx2927/R12157","ATx2927","R12157","19CS",144.78
"326","ATx2927/RTx2936","ATx2927","RTx2936","19CS",151.13
"327","ATx2927/RTx2937","ATx2927","RTx2937","19CS",135.89
"328","ATx2930/R01302","ATx2930","R01302","19CS",160.02
"329","ATx2930/R02107","ATx2930","R02107","19CS",156.21
"330","ATx2930/R03248","ATx2930","R03248","19CS",139.7
"331","ATx2930/R05393","ATx2930","R05393","19CS",137.16
"332","ATx2930/R05425","ATx2930","R05425","19CS",167.64
"333","ATx2930/R07178","ATx2930","R07178","19CS",149.86
"334","ATx2930/R08303","ATx2930","R08303","19CS",138.43
"335","ATx2930/R11158","ATx2930","R11158","19CS",161.29
"336","ATx2930/R12148","ATx2930","R12148","19CS",146.05
"337","ATx2930/R12154","ATx2930","R12154","19CS",148.59
"338","ATx2930/RTx2920","ATx2930","RTx2920","19CS",133.35
"339","ATx2930/RTx2940","ATx2930","RTx2940","19CS",139.7
"340","ATx2930/RTx2942","ATx2930","RTx2942","19CS",140.97
"341","ATx2931/R01302","ATx2931","R01302","19CS",160.02
"342","ATx2931/R05405","ATx2931","R05405","19CS",128.27
"343","ATx2931/R07161","ATx2931","R07161","19CS",168.91
"344","ATx2931/R08297","ATx2931","R08297","19CS",160.02
"345","ATx2931/R08304","ATx2931","R08304","19CS",172.72
"346","ATx2931/R08306","ATx2931","R08306","19CS",156.21
"347","ATx2931/R11208","ATx2931","R11208","19CS",114.3
"348","ATx2931/RTx2936","ATx2931","RTx2936","19CS",166.37
"349","ATx2931/RTx2940","ATx2931","RTx2940","19CS",156.21
"350","ATx2931/RTx2943","ATx2931","RTx2943","19CS",166.37
"351","ATx2934/R05386","ATx2934","R05386","19CS",132.08
"352","ATx2934/R08297","ATx2934","R08297","19CS",123.19
"353","ATx2934/R11208","ATx2934","R11208","19CS",127
"354","ATx2934/R12157","ATx2934","R12157","19CS",130.81
"355","ATx2934/RTx2935","ATx2934","RTx2935","19CS",128.27
"356","ATx2934/RTx2941","ATx2934","RTx2941","19CS",137.16
"357","ATx3408/R05330","ATx3408","R05330","19CS",154.94
"358","ATx3408/R12145","ATx3408","R12145","19CS",142.24
"359","ATx3408/RTx2935","ATx3408","RTx2935","19CS",142.24
"360","ATx3409/R08224","ATx3409","R08224","19CS",127
"361","ATx644/R05330","ATx644","R05330","19CS",134.62
"362","ATx644/R08224","ATx644","R08224","19CS",172.72
"363","ATx644/RTx2935","ATx644","RTx2935","19CS",129.54
"364","ATx644/RTx2936","ATx644","RTx2936","19CS",139.7
"365","A01021/R02107","A01021","R02107","19TA",154.94
"366","A01021/R07178","A01021","R07178","19TA",152.4
"367","A01021/R12145","A01021","R12145","19TA",140.97
"368","A01021/RTx2935","A01021","RTx2935","19TA",151.13
"369","A01046/R05386","A01046","R05386","19TA",123.19
"370","A01046/R11208","A01046","R11208","19TA",125.73
"371","A01046/RTx2914","A01046","RTx2914","19TA",130.81
"372","A01362/R04060","A01362","R04060","19TA",139.7
"373","A01362/R05512","A01362","R05512","19TA",134.62
"374","A01362/R08304","A01362","R08304","19TA",137.16
"375","A01362/RTx2912","A01362","RTx2912","19TA",134.62
"376","A01362/RTx2919","A01362","RTx2919","19TA",135.89
"377","A01362/RTx2943","A01362","RTx2943","19TA",146.05
"378","A03017/R04104","A03017","R04104","19TA",130.81
"379","A03017/RTx2918","A03017","RTx2918","19TA",139.7
"380","A03032/R04060","A03032","R04060","19TA",127
"381","A03032/RTx2913","A03032","RTx2913","19TA",143.51
"382","A03032/RTx2942","A03032","RTx2942","19TA",130.81
"383","A03040/R04104","A03040","R04104","19TA",148.59
"384","A03040/R05393","A03040","R05393","19TA",147.32
"385","A03040/R08306","A03040","R08306","19TA",151.13
"386","A03040/R12071","A03040","R12071","19TA",152.4
"387","A03040/R12154","A03040","R12154","19TA",151.13
"388","A03040/RTx2917","A03040","RTx2917","19TA",146.05
"389","A03040/RTx2942","A03040","RTx2942","19TA",157.48
"390","A03043/R04104","A03043","R04104","19TA",133.35
"391","A03043/R05386","A03043","R05386","19TA",130.81
"392","A03043/R08297","A03043","R08297","19TA",137.16
"393","A03043/R12148","A03043","R12148","19TA",137.16
"394","A03043/RTx2920","A03043","RTx2920","19TA",137.16
"395","A03054/R05405","A03054","R05405","19TA",147.32
"396","A03054/R12156","A03054","R12156","19TA",123.19
"397","A03054/RTx2936","A03054","RTx2936","19TA",129.54
"398","A03054/RTx2941","A03054","RTx2941","19TA",129.54
"399","A03055/R05330","A03055","R05330","19TA",146.05
"400","A03055/R08297","A03055","R08297","19TA",130.81
"401","A03055/RTx2918","A03055","RTx2918","19TA",134.62
"402","A03055/RTx2942","A03055","RTx2942","19TA",147.32
"403","A03055/RTx2944","A03055","RTx2944","19TA",135.89
"404","A03089/R05393","A03089","R05393","19TA",149.86
"405","A03089/R12157","A03089","R12157","19TA",134.62
"406","A03089/RTx2917","A03089","RTx2917","19TA",144.78
"407","A03093/R02107","A03093","R02107","19TA",138.43
"408","A03093/R05405","A03093","R05405","19TA",158.75
"409","A03093/R08297","A03093","R08297","19TA",130.81
"410","A03093/RTx2913","A03093","RTx2913","19TA",147.32
"411","A03093/RTx2920","A03093","RTx2920","19TA",123.19
"412","A03093/RTx2944","A03093","RTx2944","19TA",121.92
"413","A03121/R05330","A03121","R05330","19TA",147.32
"414","A03121/R07178","A03121","R07178","19TA",135.89
"415","A03121/R08303","A03121","R08303","19TA",138.43
"416","A03121/RTx2913","A03121","RTx2913","19TA",151.13
"417","A03121/RTx2935","A03121","RTx2935","19TA",137.16
"418","A05071/R02107","A05071","R02107","19TA",139.7
"419","A05071/R05330","A05071","R05330","19TA",129.54
"420","A05071/R05425","A05071","R05425","19TA",134.62
"421","A05071/R11158","A05071","R11158","19TA",148.59
"422","A05071/RTx2936","A05071","RTx2936","19TA",135.89
"423","A05210/R03248","A05210","R03248","19TA",146.05
"424","A05210/R05405","A05210","R05405","19TA",173.99
"425","A05210/R08224","A05210","R08224","19TA",172.72
"426","A05210/R12154","A05210","R12154","19TA",158.75
"427","A05210/RTx2937","A05210","RTx2937","19TA",140.97
"428","A05210/RTx2943","A05210","RTx2943","19TA",161.29
"429","A05269/R05330","A05269","R05330","19TA",161.29
"430","A05269/R08303","A05269","R08303","19TA",138.43
"431","A05269/R11208","A05269","R11208","19TA",142.24
"432","A05269/RTx2919","A05269","RTx2919","19TA",147.32
"433","A05269/RTx2943","A05269","RTx2943","19TA",158.75
"434","A06035/R03248","A06035","R03248","19TA",137.16
"435","A06035/R12154","A06035","R12154","19TA",130.81
"436","A06035/RTx2917","A06035","RTx2917","19TA",133.35
"437","A06035/RTx2936","A06035","RTx2936","19TA",142.24
"438","A06036/R08306","A06036","R08306","19TA",148.59
"439","A06036/RTx2940","A06036","RTx2940","19TA",123.19
"440","A07118/R08224","A07118","R08224","19TA",156.21
"441","A07118/R12145","A07118","R12145","19TA",128.27
"442","A07118/R12157","A07118","R12157","19TA",130.81
"443","A07118/RTx2944","A07118","RTx2944","19TA",129.54
"444","A07124/R04060","A07124","R04060","19TA",137.16
"445","A07124/R05425","A07124","R05425","19TA",163.83
"446","A07124/R11158","A07124","R11158","19TA",138.43
"447","A07124/RTx2917","A07124","RTx2917","19TA",139.7
"448","A07124/RTx2935","A07124","RTx2935","19TA",140.97
"449","A08068/R03248","A08068","R03248","19TA",137.16
"450","A08068/R11158","A08068","R11158","19TA",148.59
"451","A08068/RTx2919","A08068","RTx2919","19TA",140.97
"452","A08134/R04060","A08134","R04060","19TA",146.05
"453","A08134/R07178","A08134","R07178","19TA",149.86
"454","A08134/R11158","A08134","R11158","19TA",153.67
"455","A08134/RTx2918","A08134","RTx2918","19TA",153.67
"456","A08134/RTx2940","A08134","RTx2940","19TA",135.89
"457","A08140/R04104","A08140","R04104","19TA",121.92
"458","A08140/R05386","A08140","R05386","19TA",137.16
"459","A08140/R08303","A08140","R08303","19TA",129.54
"460","A08140/R12156","A08140","R12156","19TA",129.54
"461","A08158/R01302","A08158","R01302","19TA",144.78
"462","A08158/R05330","A08158","R05330","19TA",153.67
"463","A08158/R08224","A08158","R08224","19TA",165.1
"464","A08158/R12145","A08158","R12145","19TA",143.51
"465","A08158/RTx2912","A08158","RTx2912","19TA",153.67
"466","A08158/RTx2917","A08158","RTx2917","19TA",147.32
"467","A11076/R04060","A11076","R04060","19TA",143.51
"468","A11076/R08297","A11076","R08297","19TA",139.7
"469","A11076/R12154","A11076","R12154","19TA",139.7
"470","A11076/RTx2918","A11076","RTx2918","19TA",139.7
"471","A11076/RTx2940","A11076","RTx2940","19TA",137.16
"472","A11085/R04104","A11085","R04104","19TA",137.16
"473","A11085/R07178","A11085","R07178","19TA",142.24
"474","A11085/RTx2942","A11085","RTx2942","19TA",146.05
"475","AKS116/R02107","AKS116","R02107","19TA",157.48
