pedigree,female,male,env,blue
ATx644/R05330,ATx644,R05330,19CS,2.515
ATx644/R08224,ATx644,R08224,19CS,2.885
ATx644/RTx2935,ATx644,RTx2935,19CS,2.465
ATx644/RTx2936,ATx644,RTx2936,19CS,2.885
A01021/R02107,A01021,R02107,19TA,3.53
A01021/R07178,A01021,R07178,19TA,3.585
A01021/R12145,A01021,R12145,19TA,2.532
A01021/RTx2935,A01021,RTx2935,19TA,3.42
A01046/R05386,A01046,R05386,19TA,3.187
A01046/R11208,A01046,R11208,19TA,3.385
A01046/RTx2914,A01046,RTx2914,19TA,3.295
A01362/R04060,A01362,R04060,19TA,3.005
A01362/R05512,A01362,R05512,19TA,2.17
A01362/R08304,A01362,R08304,19TA,2.835
A01362/RTx2912,A01362,RTx2912,19TA,3.045
A01362/RTx2919,A01362,RTx2919,19TA,3.162
A01362/RTx2943,A01362,RTx2943,19TA,3.26
A03017/R04104,A03017,R04104,19TA,3.337
A03017/RTx2918,A03017,RTx2918,19TA,3.49
A03032/R04060,A03032,R04060,19TA,3.185
A03032/RTx2913,A03032,RTx2913,19TA,3.37
A03032/RTx2942,A03032,RTx2942,19TA,3.292
A03040/R04104,A03040,R04104,19TA,2.157
A03040/R05393,A03040,R05393,19TA,3.352
A03040/R08306,A03040,R08306,19TA,3.02
A03040/R12071,A03040,R12071,19TA,3.09
A03040/R12154,A03040,R12154,19TA,3.34
A03040/RTx2917,A03040,RTx2917,19TA,2.992
A03040/RTx2942,A03040,RTx2942,19TA,3.082
A03043/R04104,A03043,R04104,19TA,3.272
A03043/R05386,A03043,R05386,19TA,3.317
A03043/R08297,A03043,R08297,19TA,3.062
A03043/R12148,A03043,R12148,19TA,2.96
A03043/RTx2920,A03043,RTx2920,19TA,3.045
A03054/R05405,A03054,R05405,19TA,3.09
A03054/R12156,A03054,R12156,19TA,2.83
A03054/RTx2936,A03054,RTx2936,19TA,3.092
A03054/RTx2941,A03054,RTx2941,19TA,2.682
A03055/R05330,A03055,R05330,19TA,3.152
A03055/R08297,A03055,R08297,19TA,2.587
A03055/RTx2918,A03055,RTx2918,19TA,3.451
A03055/RTx2942,A03055,RTx2942,19TA,2.971
A03055/RTx2944,A03055,RTx2944,19TA,2.811
A03089/R05393,A03089,R05393,19TA,3.331
A03089/R12157,A03089,R12157,19TA,3.196
A03089/RTx2917,A03089,RTx2917,19TA,2.951
A03093/R02107,A03093,R02107,19TA,3.136
A03093/R05405,A03093,R05405,19TA,3.326
A03093/R08297,A03093,R08297,19TA,2.946
A03093/RTx2913,A03093,RTx2913,19TA,3.361
A03093/RTx2920,A03093,RTx2920,19TA,3.086
A03093/RTx2944,A03093,RTx2944,19TA,3.166
A03121/R05330,A03121,R05330,19TA,3.381
A03121/R07178,A03121,R07178,19TA,3.271
A03121/R08303,A03121,R08303,19TA,2.366
A03121/RTx2913,A03121,RTx2913,19TA,2.976
A03121/RTx2935,A03121,RTx2935,19TA,2.996
A05071/R02107,A05071,R02107,19TA,2.896
A05071/R05330,A05071,R05330,19TA,3.266
A05071/R05425,A05071,R05425,19TA,3.226
A05071/R11158,A05071,R11158,19TA,3.091
A05071/RTx2936,A05071,RTx2936,19TA,3.291
A05210/R03248,A05210,R03248,19TA,3.391
A05210/R05405,A05210,R05405,19TA,3.481
A05210/R08224,A05210,R08224,19TA,3.326
A05210/R12154,A05210,R12154,19TA,3.401
A05210/RTx2937,A05210,RTx2937,19TA,3.476
A05210/RTx2943,A05210,RTx2943,19TA,3.396
A05269/R05330,A05269,R05330,19TA,3.256
A05269/R08303,A05269,R08303,19TA,3.121
A05269/R11208,A05269,R11208,19TA,3.251
A05269/RTx2919,A05269,RTx2919,19TA,3.216
A05269/RTx2943,A05269,RTx2943,19TA,3.446
A06035/R03248,A06035,R03248,19TA,3.091
A06035/R12154,A06035,R12154,19TA,3.431
A06035/RTx2917,A06035,RTx2917,19TA,2.861
A06035/RTx2936,A06035,RTx2936,19TA,3.301
A06036/R08306,A06036,R08306,19TA,3.566
A06036/RTx2940,A06036,RTx2940,19TA,3.061
A07118/R08224,A07118,R08224,19TA,3.196
A07118/R12145,A07118,R12145,19TA,3.191
A07118/R12157,A07118,R12157,19TA,3.306
A07118/RTx2944,A07118,RTx2944,19TA,2.916
A07124/R04060,A07124,R04060,19TA,2.621
A07124/R05425,A07124,R05425,19TA,3.326
A07124/R11158,A07124,R11158,19TA,2.226
A07124/RTx2917,A07124,RTx2917,19TA,2.881
A07124/RTx2935,A07124,RTx2935,19TA,3.171
A08068/R03248,A08068,R03248,19TA,3.531
A08068/R11158,A08068,R11158,19TA,3.116
A08068/RTx2919,A08068,RTx2919,19TA,3.476
A08134/R04060,A08134,R04060,19TA,3.391
A08134/R07178,A08134,R07178,19TA,3.336
A08134/R11158,A08134,R11158,19TA,3.246
A08134/RTx2918,A08134,RTx2918,19TA,3.261
A08134/RTx2940,A08134,RTx2940,19TA,3.256
A08140/R04104,A08140,R04104,19TA,3.431
A08140/R05386,A08140,R05386,19TA,3.101
A08140/R08303,A08140,R08303,19TA,3.061
A08140/R12156,A08140,R12156,19TA,3.281
A08158/R01302,A08158,R01302,19TA,3.546
A08158/R05330,A08158,R05330,19TA,3.411
A08158/R08224,A08158,R08224,19TA,3.221
A08158/R12145,A08158,R12145,19TA,3.341
A08158/RTx2912,A08158,RTx2912,19TA,3.766
A08158/RTx2917,A08158,RTx2917,19TA,3.281
A11076/R04060,A11076,R04060,19TA,2.931
A11076/R08297,A11076,R08297,19TA,3.111
A11076/R12154,A11076,R12154,19TA,3.481
A11076/RTx2918,A11076,RTx2918,19TA,3.386
A11076/RTx2940,A11076,RTx2940,19TA,3.101
A11085/R04104,A11085,R04104,19TA,2.651
A11085/R07178,A11085,R07178,19TA,2.941
A11085/RTx2942,A11085,RTx2942,19TA,2.851
AKS116/R02107,AKS116,R02107,19TA,3.271
