pedigree,female,male,env,blue
AKS116/RTx2940,AKS116,RTx2940,19TA,11.31
AKS116/RTx2944,AKS116,RTx2944,19TA,10.775
AKS117/R12148,AKS117,R12148,19TA,10.995
AKS118/R12156,AKS118,R12156,19TA,10.2
AKS118/RTx2916,AKS118,RTx2916,19TA,11.035
AKS118/RTx2935,AKS118,RTx2935,19TA,10.84
AKS119/R05386,AKS119,R05386,19TA,10.595
AKS119/R05512,AKS119,R05512,19TA,10.945
AKS119/RTx2914,AKS119,RTx2914,19TA,10.76
AKS119/RTx2919,AKS119,RTx2919,19TA,10.87
AKS120/R04060,AKS120,R04060,19TA,10.75
AKS120/R07161,AKS120,R07161,19TA,10.875
AKS120/R08306,AKS120,R08306,19TA,10.58
AKS120/R12148,AKS120,R12148,19TA,10.29
AKS120/RTx2935,AKS120,RTx2935,19TA,10.475
AKS120/RTx2944,AKS120,RTx2944,19TA,10.265
AN263/R11208,AN263,R11208,19TA,10.425
AN263/RTx2935,AN263,RTx2935,19TA,10.685
AN263/RTx2938,AN263,RTx2938,19TA,11.175
AN268/R12148,AN268,R12148,19TA,10.69
AN290/R02107,AN290,R02107,19TA,10.68
AN290/R05386,AN290,R05386,19TA,9.95
AN290/R12154,AN290,R12154,19TA,11.215
AN290/RTx2920,AN290,RTx2920,19TA,10.86
AN290/RTx2943,AN290,RTx2943,19TA,10.735
ATx2921/R05330,ATx2921,R05330,19TA,10.03
ATx2921/R07178,ATx2921,R07178,19TA,10.57
ATx2921/R12157,ATx2921,R12157,19TA,10.275
ATx2921/RTx2918,ATx2921,RTx2918,19TA,10.6
ATx2923/R03248,ATx2923,R03248,19TA,11.145
ATx2923/R05405,ATx2923,R05405,19TA,11.065
ATx2923/R08297,ATx2923,R08297,19TA,10.93
ATx2923/R11208,ATx2923,R11208,19TA,11.365
ATx2923/RTx2913,ATx2923,RTx2913,19TA,11.3
ATx2923/RTx2936,ATx2923,RTx2936,19TA,12.395
ATx2924/R05386,ATx2924,R05386,19TA,12.965
ATx2924/R05512,ATx2924,R05512,19TA,11.79
ATx2924/R11158,ATx2924,R11158,19TA,12.045
ATx2924/RTx2918,ATx2924,RTx2918,19TA,12.745
ATx2924/RTx2936,ATx2924,RTx2936,19TA,12.58
ATx2924/RTx2941,ATx2924,RTx2941,19TA,13.205
ATx2926/R05393,ATx2926,R05393,19TA,12.195
ATx2926/R07161,ATx2926,R07161,19TA,11.805
ATx2926/R08304,ATx2926,R08304,19TA,12.39
ATx2926/RTx2913,ATx2926,RTx2913,19TA,12.46
ATx2926/RTx2919,ATx2926,RTx2919,19TA,12.3
ATx2927/R12157,ATx2927,R12157,19TA,12.315
ATx2927/RTx2937,ATx2927,RTx2937,19TA,12.175
